"Actions","Toimenpiteet"
"Are you sure?","Oletko varma?"
"Date Added","Päivämäärä lisätty"
"Error while marking as read. Please try again later.","Luetuksi merkitseminen ei onnistunut. Yritä myöhemmin uudelleen."
"Error while marking. Please try again later.","Merkitseminen ei onnistunut. Yritä myöhemmin uudelleen."
"Error while removing. Please try again later.","Poistaminen ei onnistunut. Yritä myöhemmin uudelleen."
"Last update","Viimeksi päivitetty"
"Mark as Read","Merkitse Luetuksi"
"Mark as read","Merkitse luetuksi"
"Message","Viesti"
"Message was successfully marked as read","Viesti merkitty luetuksi"
"Message was successfully removed","Viesti poistettu"
"Messages Inbox","Saapuneet viestit"
"Notifications","Ilmoitukset"
"Please select messages","Valitse viestit"
"Read Details","Lue lisätietoja"
"Remove","Poista"
"Severity","Vakavuus"
"Show List","Näytä lista"
"Show Toolbar","Näytä työkalupalkki"
"Total of %d record(s) were successfully marked as read","%d tallenne(tta) merkitty luetuksi"
"Total of %d record(s) were successfully removed","%d tallenne(tta) poistettu"
"Unable to proceed. Please, try again","Jatkaminen ei onnistunut. Yritä uudelleen."
"Update frequency","Päivitä taajuus"
"Use HTTPS to get feed","Käytä HTTPS:ää syötteen hakemiseksi"
"critical","kriittinen"
"major","merkittävä"
"minor","vähäinen"
"notice","huomautus"
