"# of Use","# käyttökertaa"
"%1$s incl tax.","%1$s sis. veron"
"%s - %s","%s - %s"
"%s Item(s)","%s tuote(tta)"
"(Copy data from: %s)","(Kopio data: %s)"
"(Will make search for the query above return results for this search.)","(Tekee haun yllä olevalla lausekkeella ja palauttaa tulokset tälle haulle)"
"* Required Fields","* Vaaditut tiedot"
"-- Please Select --","-- Valitse --"
"A name is required","Vaaditaan nimi"
"ALL GROUPS","KAIKKI RYHMÄT"
"AM","AM"
"Action","Toiminto"
"Add Attribute","Lisää ominaisuus"
"Add Design Change","Lisää ulkoasun muutos"
"Add Group","Lisää ryhmä"
"Add Items to Cart","Laita tuotteet ostoskoriin"
"Add New","Lisää uusi"
"Add New Attribute","Lisää uusi ominaisuus"
"Add New Attribute Set","Lisää uusi ominaisuuskokonaisuus"
"Add New Group","Lisää uusi ryhmä"
"Add New Images","Lisää uusia kuvia"
"Add New Option","Lisää uusi vaihtoehto"
"Add New Row","Lisää uusi rivi"
"Add New Search Term","Lisää uusi hakusana"
"Add New Set","Lisää uusi kokonaisuus"
"Add Option","Lisää asetus"
"Add Product","Lisää tuote"
"Add Product To Websites","Lisää tuote sivustoille"
"Add Root Category","Lisää juurikategoria"
"Add Subcategory","Lisää alakategoria"
"Add Tax","Lisää vero"
"Add Tier","Lisää määräalennus"
"Add to Cart","Lisää koriin"
"Add to Compare","Lisää vertailuun"
"Add to My Wishlist","Lisää toivelistaani"
"Add to Wishlist","Lisää toivelistaan"
"Additional Information","Lisätiedot"
"All","Kaikki"
"All Product Types","Kaikki tuotetyypit"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Kaikki tuotteet tästä ryhmästä poistetaan! Oletko varma että haluat poistaa tämän ominaisuusryhmän?"
"Allow HTML-tags on Front-end","Salli HTML-sisältö asiakasnäkymässä"
"Allowed File Extensions","Sallitut tiedostopäätteet"
"Allowed file extensions to upload","Sallitut tiedostopäätteet"
"Amount","Määrä"
"Apply To","Ota käyttöön"
"Apply To Configurable/Grouped Product","Ota käyttöön muokattavalle-/ryhmätuotteelle"
"Approved","Hyväksytty"
"Are you sure you want to delete this category?","Haluatko varmasti poistaa tämän kategorian?"
"Are you sure you would like to remove all products from your comparison?","Haluatko varmasti poistaa kaikki tuotteet vertailusta?"
"Are you sure you would like to remove this item from the compare products?","Haluatko varmasti poistaa tämän tuotteen tuotevertailusta?"
"Are you sure?","Oletko varma?"
"As low as:","Niinkin matala kuin:"
"Assign","Määritä"
"Assign product link","Määritä tuotelinkki"
"Assign product to category","Määritä tuote kategoriaan"
"Assigned Products","Määritetyt tuotteet"
"Associated Products","Liitännäistuotteet"
"Attrib. Set Name","Ominaisuuskokonaisuuden nimi"
"Attribute Code","Ominaisuuden koodi"
"Attribute Information","Ominaisuuden tiedot"
"Attribute Label","Ominaisuuden nimike"
"Attribute Model","Ominaisuuden malli"
"Attribute Name:","Ominaisuuden nimi:"
"Attribute Properties","Ominaisuuden asetukset"
"Attribute Set","Ominaisuuksien kokonaisuus"
"Attribute group with the ""/name/"" name already exists","Nimi ""/name/"" on jo käytössä"
"Attribute model not defined","Ominaisuuden mallia ei ole määritelty"
"Attribute with the same code already exists","Ominaisuus samalla koodilla on jo olemassa"
"Attributes","Ominaisuudet"
"Attribute names can be specified per store.","Ominaisuuksien nimet voidaan määrittää kauppakohtaisesti."
"Autogenerate","Luo automaattisesti"
"Availability","Saatavuus"
"Availability: In stock.","Saatavuus: Varastossa."
"Availability: Out of stock.","Saatavuus: Loppu varastosta."
"Back","Takaisin"
"Backend Model","Hallinnoinnin malli"
"Backend Table","Hallinnoinnin taulukko"
"Backend Table Title","Hallinnoinnin taulukon otsikko"
"Backorders","Jälkitoimitukset"
"Base directory to upload image file is not specified","Juurihakemistoa kuvan siirtämistä varten ei ole määritelty"
"Based On","Perustuen"
"Best Value","Järjestysnumero"
"Block after Info Column","Omassa lohkossa tuotetietojen jälkeen"
"Bottom/Left","Alhaalla/vasemmalla"
"Bottom/Right","Alhaalla/oikealla"
"Browse By","Selaa"
"Buy %1$s for %2$s","Osta %1$s hintaan %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s hintaan %2$s (%3$s sis. verot) /kpl"
"Buy %1$s for %2$s each","Osta %1$s hintaan %2$s /kpl"
"Can be used only with catalog input type Dropdown","Voidaan käyttää vain katalogin syöttötyypin 'pudotus' kanssa"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Voidaan käyttää vain katalogin syöttötyypin 'pudotus' kanssa, moninkertainen valinta ja hinta"
"Can't create image.","Kuvan luonti ei onnistunut."
"Cannot create writeable directory "%s"","Kirjoitettavan hakemiston "%s" luonti ei onnistunut"
"Cart Item Attribute","Ostoskorin tuotteen ominaisuus"
"Catalog","Katalogi"
"Catalog Input Type for Store Owner","Katalogin syöttötyyppi kaupan omistajalle"
"Catalog Price Scope","Katalogin hintanäkymä"
"Catalog Section","Katalogin osa"
"Catalog, Search","Katalogi, haku"
"Categories","Kategoriat"
"Categories Sitemap","Kategorioiden sivukartta"
"Category","Kategoria"
"Category API","Category API"
"Category Data","Kategorian data"
"Category Navigation:","Kategorian navigaatio:"
"Category Products","Kategorian tuotteet"
"Category Top Navigation","Kategorian ylänavigaatio"
"Category URL Suffix","Kategorioiden URL:n pääte"
"Category attributes API","Category attributes API"
"Category delete error","Kategorian poistossa tapahtui virhe"
"Category deleted","Kategoria poistettu"
"Category move error","Kategorian siirrossa tapahtui virhe"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Kategoria tallennettu"
"Change","Muuta"
